epoch,step,train_loss,val_loss
0,9,,1.7380958795547485
1,19,,1.6067421436309814
2,29,,1.3876851797103882
3,39,,1.2465142011642456
4,49,0.8948116898536682,
4,49,,1.1819264888763428
5,59,,1.1517183780670166
6,69,,1.058839201927185
7,79,,1.00532066822052
8,89,,0.9940310716629028
9,99,0.5768938660621643,
9,99,,0.9803504347801208
10,109,,0.9799274802207947
11,119,,0.9474955201148987
12,129,,0.9390975832939148
13,139,,0.9570290446281433
14,149,0.5126673579216003,
14,149,,0.9182965755462646
15,159,,0.9349347352981567
16,169,,0.9411187767982483
17,179,,0.9217260479927063
18,189,,0.9368533492088318
19,199,0.3839452564716339,
19,199,,0.9466330409049988
