epoch,step,test_accuracy_cable_flyes,test_accuracy_incline_benchpress,test_accuracy_machine_pulldown,test_accuracy_macro,test_accuracy_pullup,test_accuracy_romanian_deadlift,test_accuracy_squats,test_precision_cable_flyes,test_precision_incline_benchpress,test_precision_machine_pulldown,test_precision_macro,test_precision_pullup,test_precision_romanian_deadlift,test_precision_squats,test_recall_cable_flyes,test_recall_incline_benchpress,test_recall_machine_pulldown,test_recall_macro,test_recall_pullup,test_recall_romanian_deadlift,test_recall_squats,test_support_cable_flyes,test_support_incline_benchpress,test_support_machine_pulldown,test_support_pullup,test_support_romanian_deadlift,test_support_squats,train_loss,val_loss
0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8859686851501465
1,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6845285892486572
2,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4074569940567017
3,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3034660816192627
4,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9367549419403076,
4,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.195147156715393
5,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1462773084640503
6,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.101641058921814
7,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0875622034072876
8,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0733486413955688
9,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.46198832988739014,
9,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0325987339019775
10,109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.007941484451294
11,119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.005308985710144
12,129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9840418696403503
13,139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.996873676776886
14,149,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5432116985321045,
14,149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.970611572265625
15,159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9826821684837341
16,169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9989979863166809
17,179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9567456841468811
18,189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9618958830833435
19,199,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4863961935043335,
19,199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9485387206077576
20,209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9455182552337646
21,219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9538777470588684
22,229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9599437713623047
23,239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9379627108573914
24,249,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4107665717601776,
24,249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9592365026473999
25,259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9358571767807007
26,269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9750574827194214
27,279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9495958685874939
28,289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9478350281715393
29,299,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.29364755749702454,
29,299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9565839171409607
30,309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.948123037815094
31,310,0.8999999761581421,0.6000000238418579,0.699999988079071,0.7000000476837158,0.800000011920929,0.800000011920929,0.4000000059604645,0.692307710647583,0.75,0.7777777910232544,0.706041157245636,0.8888888955116272,0.7272727489471436,0.4000000059604645,0.8999999761581421,0.6000000238418579,0.699999988079071,0.7000000476837158,0.800000011920929,0.800000011920929,0.4000000059604645,10.0,10.0,10.0,10.0,10.0,10.0,,
31,310,0.8999999761581421,0.6000000238418579,0.699999988079071,0.7000000476837158,0.800000011920929,0.800000011920929,0.4000000059604645,0.692307710647583,0.75,0.7777777910232544,0.706041157245636,0.8888888955116272,0.7272727489471436,0.4000000059604645,0.8999999761581421,0.6000000238418579,0.699999988079071,0.7000000476837158,0.800000011920929,0.800000011920929,0.4000000059604645,10.0,10.0,10.0,10.0,10.0,10.0,,
31,310,0.8999999761581421,0.6000000238418579,0.699999988079071,0.7000000476837158,0.800000011920929,0.800000011920929,0.4000000059604645,0.692307710647583,0.75,0.7777777910232544,0.706041157245636,0.8888888955116272,0.7272727489471436,0.4000000059604645,0.8999999761581421,0.6000000238418579,0.699999988079071,0.7000000476837158,0.800000011920929,0.800000011920929,0.4000000059604645,10.0,10.0,10.0,10.0,10.0,10.0,,
31,310,0.8999999761581421,0.6000000238418579,0.699999988079071,0.7000000476837158,0.800000011920929,0.800000011920929,0.4000000059604645,0.692307710647583,0.75,0.7777777910232544,0.706041157245636,0.8888888955116272,0.7272727489471436,0.4000000059604645,0.8999999761581421,0.6000000238418579,0.699999988079071,0.7000000476837158,0.800000011920929,0.800000011920929,0.4000000059604645,10.0,10.0,10.0,10.0,10.0,10.0,,
